iter	Passed	Remaining
539	9715	8276
540	9731	8256
541	9744	8234
542	9758	8213
543	9773	8192
544	9785	8169
545	9814	8160
546	9828	8139
547	9848	8123
548	9867	8106
549	9881	8085
550	9895	8063
551	9910	8043
552	9926	8023
553	9938	8001
554	9950	7977
555	9966	7958
556	9985	7942
557	9999	7920
558	10011	7898
559	10030	7881
560	10041	7857
561	10054	7835
562	10068	7815
563	10097	7806
564	10145	7810
565	10163	7792
566	10179	7774
567	10201	7758
568	10234	7752
569	10253	7735
570	10272	7717
571	10305	7711
572	10325	7694
573	10344	7677
574	10359	7656
575	10380	7641
576	10398	7623
577	10410	7600
578	10421	7577
579	10433	7555
580	10448	7535
581	10465	7516
582	10477	7493
583	10487	7470
584	10497	7447
585	10507	7423
586	10530	7409
587	10582	7414
588	10601	7397
589	10614	7376
590	10636	7360
591	10654	7342
592	10671	7324
593	10688	7305
594	10698	7282
595	10712	7261
596	10732	7244
597	10755	7230
598	10784	7219
599	10798	7199
600	10816	7180
601	10835	7163
602	10853	7145
603	10870	7126
604	10892	7111
605	10905	7090
606	10917	7068
607	10933	7049
608	10949	7029
609	10962	7008
610	10975	6987
611	10986	6965
612	10998	6943
613	11045	6944
614	11064	6926
615	11078	6905
616	11098	6889
617	11110	6867
618	11124	6847
619	11138	6826
620	11155	6808
621	11167	6786
622	11180	6765
623	11191	6743
624	11203	6722
625	11214	6700
626	11227	6679
627	11238	6656
628	11250	6635
629	11262	6614
630	11272	6591
631	11282	6569
632	11293	6547
633	11305	6526
634	11319	6506
635	11330	6484
636	11342	6463
637	11352	6441
638	11363	6419
639	11374	6398
640	11384	6376
641	11397	6355
642	11409	6334
643	11422	6314
644	11433	6292
645	11444	6271
646	11454	6249
647	11465	6228
648	11475	6206
649	11486	6185
650	11498	6164
651	11510	6143
652	11521	6122
653	11533	6101
654	11545	6081
655	11556	6060
656	11569	6039
657	11581	6019
658	11598	6001
659	11610	5981
660	11622	5960
661	11636	5941
662	11650	5921
663	11664	5902
664	11682	5884
665	11694	5865
666	11710	5846
667	11727	5828
668	11739	5808
669	11753	5789
670	11764	5768
671	11776	5747
672	11787	5727
673	11802	5708
674	11812	5687
675	11824	5667
676	11840	5649
677	11867	5636
678	11886	5619
679	11907	5603
680	11939	5592
681	12001	5596
682	12017	5577
683	12034	5559
684	12047	5540
685	12062	5521
686	12077	5502
687	12092	5483
688	12106	5464
689	12122	5446
690	12135	5426
691	12155	5410
692	12172	5392
693	12182	5371
694	12192	5350
695	12203	5330
696	12215	5310
697	12229	5291
698	12246	5273
699	12257	5253
700	12268	5233
701	12279	5212
702	12289	5192
703	12301	5172
704	12311	5151
705	12320	5130
706	12331	5110
707	12341	5089
708	12350	5069
709	12365	5050
710	12378	5031
711	12387	5010
712	12396	4990
713	12408	4970
714	12418	4950
715	12427	4929
716	12440	4910
717	12448	4889
718	12457	4868
719	12467	4848
720	12476	4828
721	12485	4807
722	12494	4787
723	12504	4766
724	12514	4746
725	12522	4726
726	12533	4706
727	12544	4686
728	12558	4668
729	12568	4648
730	12578	4628
731	12589	4609
732	12599	4589
733	12608	4569
734	12622	4551
735	12635	4532
736	12652	4515
737	12662	4495
738	12670	4475
739	12680	4455
740	12693	4436
741	12703	4416
742	12717	4398
743	12728	4379
744	12742	4361
745	12755	4343
746	12765	4323
747	12784	4307
748	12801	4289
749	12817	4272
750	12827	4253
751	12838	4234
752	12850	4215
753	12858	4195
754	12868	4176
755	12879	4156
756	12890	4137
757	12902	4119
758	12934	4106
759	12946	4088
760	12958	4069
761	12979	4053
762	12992	4035
763	13008	4018
764	13025	4001
765	13035	3982
766	13044	3962
767	13054	3943
768	13065	3924
769	13076	3905
770	13087	3887
771	13097	3868
772	13107	3849
773	13116	3829
774	13127	3811
775	13140	3793
776	13150	3774
777	13159	3755
778	13168	3735
779	13179	3717
780	13188	3698
781	13197	3679
782	13206	3659
783	13215	3641
784	13225	3622
785	13236	3603
786	13248	3585
787	13262	3568
788	13273	3549
789	13283	3531
790	13293	3512
791	13302	3493
792	13316	3476
793	13327	3457
794	13337	3439
795	13346	3420
796	13355	3401
797	13365	3383
798	13374	3364
799	13384	3346
800	13394	3327
801	13402	3308
802	13411	3290
803	13422	3272
804	13432	3253
805	13441	3235
806	13451	3216
807	13460	3198
808	13469	3180
809	13480	3162
810	13489	3143
811	13498	3125
812	13510	3107
813	13524	3090
814	13533	3071
815	13543	3053
816	13553	3035
817	13562	3017
818	13572	2999
819	13584	2981
820	13595	2964
821	13604	2945
822	13616	2928
823	13628	2910
824	13637	2892
825	13648	2875
826	13659	2857
827	13671	2840
828	13681	2822
829	13693	2804
830	13703	2786
831	13712	2768
832	13722	2750
833	13730	2733
834	13739	2715
835	13749	2697
836	13759	2679
837	13769	2661
838	13782	2644
839	13791	2627
840	13804	2609
841	13832	2595
842	13855	2580
843	13866	2563
844	13887	2547
845	13898	2529
846	13907	2512
847	13916	2494
848	13926	2476
849	13934	2459
850	13943	2441
851	13953	2423
852	13964	2406
853	13974	2389
854	13984	2371
855	13993	2354
856	14003	2336
857	14012	2319
858	14021	2301
859	14030	2283
860	14038	2266
861	14048	2248
862	14060	2232
863	14073	2215
864	14083	2197
865	14093	2180
866	14101	2163
867	14111	2145
868	14121	2128
869	14130	2111
870	14139	2094
871	14147	2076
872	14155	2059
873	14164	2042
874	14173	2024
875	14182	2007
876	14191	1990
877	14201	1973
878	14211	1956
879	14222	1939
880	14232	1922
881	14242	1905
882	14251	1888
883	14261	1871
884	14270	1854
885	14279	1837
886	14290	1820
887	14299	1803
888	14309	1786
889	14320	1769
890	14329	1752
891	14339	1736
892	14349	1719
893	14358	1702
894	14368	1685
895	14378	1668
896	14389	1652
897	14399	1635
898	14409	1618
899	14419	1602
900	14428	1585
901	14439	1568
902	14449	1552
903	14459	1535
904	14469	1518
905	14478	1502
906	14488	1485
907	14498	1469
908	14514	1453
909	14527	1436
910	14538	1420
911	14549	1403
912	14560	1387
913	14569	1370
914	14581	1354
915	14592	1338
916	14604	1321
